Date,Pfizer,Moderna
5/3/16,0.2156,NA
5/4/16,0.2168,NA
5/5/16,0.2158,NA
5/6/16,0.2157,NA
5/9/16,0.212,NA
5/10/16,0.212,NA
5/11/16,0.222,NA
5/12/16,0.2158,NA
5/13/16,0.2141,NA
5/16/16,0.2066,NA
5/17/16,0.203,NA
5/18/16,0.1467,NA
5/19/16,0.1468,NA
5/20/16,0.1473,NA
5/23/16,0.1349,NA
5/24/16,0.1385,NA
5/25/16,0.1312,NA
5/26/16,0.1312,NA
5/27/16,0.1301,NA
5/30/16,0.1302,NA
5/31/16,0.1287,NA
6/1/16,0.1262,NA
6/2/16,0.1263,NA
6/3/16,0.1278,NA
6/6/16,0.1284,NA
6/7/16,0.1275,NA
6/8/16,0.1303,NA
6/9/16,0.1295,NA
6/10/16,0.1273,NA
6/13/16,0.1378,NA
6/14/16,0.1168,NA
6/15/16,0.1148,NA
6/16/16,0.1145,NA
6/17/16,0.124,NA
6/20/16,0.1245,NA
6/21/16,0.1259,NA
6/22/16,0.1142,NA
6/23/16,0.1144,NA
6/24/16,0.1274,NA
6/27/16,0.1276,NA
6/28/16,0.1338,NA
6/29/16,0.1405,NA
6/30/16,0.1403,NA
7/1/16,0.14,NA
7/4/16,0.1397,NA
7/5/16,0.1367,NA
7/6/16,0.1356,NA
7/7/16,0.1361,NA
7/8/16,0.1378,NA
7/11/16,0.1378,NA
7/12/16,0.1378,NA
7/13/16,0.1378,NA
7/14/16,0.1445,NA
7/15/16,0.1441,NA
7/18/16,0.1441,NA
7/19/16,0.1437,NA
7/20/16,0.1405,NA
7/21/16,0.1405,NA
7/22/16,0.1404,NA
7/25/16,0.1309,NA
7/26/16,0.13,NA
7/27/16,0.1281,NA
7/28/16,0.1293,NA
7/29/16,0.1192,NA
8/1/16,0.1209,NA
8/2/16,0.1438,NA
8/3/16,0.1694,NA
8/4/16,0.1697,NA
8/5/16,0.1616,NA
8/8/16,0.1671,NA
8/9/16,0.159,NA
8/10/16,0.1518,NA
8/11/16,0.1509,NA
8/12/16,0.1484,NA
8/15/16,0.1489,NA
8/16/16,0.1493,NA
8/17/16,0.1525,NA
8/18/16,0.1526,NA
8/19/16,0.1502,NA
8/22/16,0.1503,NA
8/23/16,0.1519,NA
8/24/16,0.1528,NA
8/25/16,0.143,NA
8/26/16,0.1432,NA
8/29/16,0.146,NA
8/30/16,0.1467,NA
8/31/16,0.1464,NA
9/1/16,0.1463,NA
9/2/16,0.1467,NA
9/5/16,0.1465,NA
9/6/16,0.1463,NA
9/7/16,0.1466,NA
9/8/16,0.1464,NA
9/9/16,0.1517,NA
9/12/16,0.1559,NA
9/13/16,0.1481,NA
9/14/16,0.1214,NA
9/15/16,0.1229,NA
9/16/16,0.1205,NA
9/19/16,0.1161,NA
9/20/16,0.1163,NA
9/21/16,0.124,NA
9/22/16,0.1242,NA
9/23/16,0.1242,NA
9/26/16,0.1333,NA
9/27/16,0.1328,NA
9/28/16,0.1299,NA
9/29/16,0.1405,NA
9/30/16,0.1493,NA
10/3/16,0.1496,NA
10/4/16,0.1478,NA
10/5/16,0.1477,NA
10/6/16,0.1489,NA
10/7/16,0.1488,NA
10/10/16,0.1463,NA
10/11/16,0.1503,NA
10/12/16,0.1503,NA
